response_id,start_date,duration_sec,finished,form,clip_order_in_form,clip_slot_index,filename,stem,intended_tone,intended_words,filename_variant,design_cell,perceived_emotion,emotion_strength,tone_vs_words,naturalness,trust,acoustic_filename,duration_s,rms_mean,rms_std,rms_max,f0_mean_hz,f0_std_hz,f0_min_hz,f0_max_hz,tempo_bpm,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std
R_5q8ouRrtLbLc7gB,2026-02-19 18:25:49,651,True,5,1,20,neutralneutral5.mp3,neutralneutral5,neutral,neutral,5,tone_neutral_word_neutral,neutral,1,3,3,5,neutralneutral5.mp3,2.27265306122449,0.10365451127290726,0.07560186833143234,0.33762168884277344,1288.70849609375,1057.0802001953125,145.56790161132812,3984.044921875,117.45383522727273,0.08109454719387756,0.05976389224522507,1369.6535566670518,1048.0736518907113,2525.9765625,1966.5561837107493,1459.3250441738833,711.0509809071838,-290.553955078125,96.38129425048828,140.72850036621094,73.52973175048828,-5.055039882659912,24.80963706970215,23.56305503845215,36.713993072509766,11.944690704345703,19.04086685180664,1.2462668418884277,18.898643493652344,-1.8718780279159546,11.817598342895508,-10.457104682922363,16.71353530883789,-9.871345520019531,17.527040481567383,-8.779695510864258,11.281623840332031,-9.438411712646484,12.942615509033203,-13.499990463256836,11.290299415588379,-4.372227668762207,8.515569686889648
R_5q8ouRrtLbLc7gB,2026-02-19 18:25:49,651,True,5,2,21,disgustneutral.mp3,disgustneutral,disgust,neutral,,tone_emotional_word_neutral,angry,5,4,3,1,disgustneutral.mp3,6.295510204081633,0.05324800685048103,0.05061300843954086,0.20723162591457367,1982.612548828125,1107.8260498046875,146.47691345214844,3999.55712890625,161.4990234375,0.17978802849264705,0.11300870313568309,2610.282286107893,956.9437932164585,4598.170112161075,1437.6996434297378,1863.1689849607321,407.2447596774128,-272.998291015625,99.6663818359375,70.05672454833984,41.80176544189453,-66.95578002929688,44.60020446777344,14.886526107788086,27.04041862487793,-40.54463577270508,26.009719848632812,-3.201190233230591,17.62375831604004,-14.815629005432129,17.789249420166016,-2.911952257156372,15.983119010925293,-8.240696907043457,15.687335014343262,0.040338851511478424,17.269655227661133,-26.093332290649414,12.759355545043945,1.2991042137145996,11.876542091369629,-19.93911361694336,13.654685974121094
R_5q8ouRrtLbLc7gB,2026-02-19 18:25:49,651,True,5,3,22,fearfulcalm.mp3,fearfulcalm,fearful,calm,,tone_emotional_word_emotional,calm,3,3,5,5,fearfulcalm.mp3,1.8546938775510204,0.12959171831607819,0.058169156312942505,0.24329957365989685,1611.87451171875,1201.2325439453125,145.7400360107422,3996.226318359375,161.4990234375,0.103790283203125,0.08979623097662891,1968.5858689193828,1152.9070857787863,3738.0294799804688,2094.0694714422675,1982.4564831127623,555.2498704399852,-172.80824279785156,64.05181884765625,103.5298080444336,56.325782775878906,-4.253727912902832,25.47342872619629,40.53278350830078,40.14189147949219,-0.3618472218513489,20.918622970581055,-8.546158790588379,17.497556686401367,-12.70625114440918,12.281373977661133,4.338171482086182,11.32341194152832,-8.852579116821289,16.440675735473633,-5.003742218017578,13.800350189208984,-14.093118667602539,14.14974594116211,-9.741399765014648,11.920677185058594,-12.60114574432373,8.881904602050781
R_5q8ouRrtLbLc7gB,2026-02-19 18:25:49,651,True,5,4,23,happyangry.mp3,happyangry,happy,angry,,tone_emotional_word_emotional,disgusted,4,3,3,3,happyangry.mp3,3.1608163265306124,0.10216362029314041,0.06946083158254623,0.24860019981861115,1784.1788330078125,1040.7061767578125,146.91412353515625,3998.66845703125,117.45383522727273,0.15207644274635038,0.13069886522256907,2465.6716523960617,1440.4559796421036,4383.892955919252,2475.095119540355,2008.7120900483824,681.0687525574344,-270.83929443359375,129.27928161621094,70.47496795654297,48.654296875,-42.00838088989258,46.92811965942383,9.274014472961426,28.787158966064453,-12.914535522460938,23.438631057739258,-23.10272979736328,24.590103149414062,-9.180137634277344,14.713708877563477,-27.37029266357422,16.43425941467285,-11.882463455200195,14.930145263671875,-8.689752578735352,10.268932342529297,-18.695789337158203,12.854368209838867,0.7086713314056396,10.560242652893066,-18.27081871032715,15.97301197052002
R_5q8ouRrtLbLc7gB,2026-02-19 18:25:49,651,True,5,5,24,sadsad.mp3,sadsad,sad,sad,,tone_emotional_word_emotional,sad,3,3,5,5,sadsad.mp3,2.5861224489795918,0.11442261189222336,0.05832469090819359,0.213234081864357,1560.09912109375,1212.593505859375,145.72671508789062,3996.51953125,95.703125,0.10492379324776786,0.1130145601918274,1832.6774820493924,1319.0382009084415,3289.9658203125,2446.6629174827794,2082.1132600455544,524.6729346708047,-215.53598022460938,66.17446899414062,122.72021484375,63.29741287231445,8.568192481994629,24.612285614013672,8.804305076599121,19.676471710205078,14.44603443145752,32.222007751464844,-4.628748416900635,17.00568962097168,2.9987282752990723,17.644777297973633,-1.2454179525375366,18.835269927978516,-4.5784196853637695,9.862581253051758,-5.820427417755127,15.69942569732666,-5.846199989318848,12.36460018157959,-6.809422016143799,11.27043342590332,-16.386056900024414,11.219610214233398
R_5VXcoPEBtO6GTSh,2026-02-19 18:44:07,851,True,2,1,5,neutralneutral2.mp3,neutralneutral2,neutral,neutral,2,tone_neutral_word_neutral,calm,1,3,5,5,neutralneutral2.mp3,1.9853061224489796,0.11649394780397415,0.07394421845674515,0.2705075144767761,1158.8131103515625,1064.6995849609375,145.73385620117188,3995.43115234375,103.359375,0.08274096111918605,0.09630030599913045,1458.5754531592872,1312.9160191847468,2722.447878815407,2186.156693323481,1514.3587907048814,672.5609318823609,-273.23663330078125,99.82989501953125,143.70802307128906,74.5728988647461,-5.208423614501953,28.361398696899414,24.209718704223633,33.69080352783203,13.443181991577148,23.624736785888672,5.802510738372803,22.97930335998535,-4.998047828674316,14.55212688446045,-15.70217227935791,13.183221817016602,-2.860330104827881,15.364967346191406,-8.974782943725586,14.724692344665527,-3.8880650997161865,15.2649564743042,-13.838109016418457,12.03921890258789,-4.32442045211792,10.204778671264648
R_5VXcoPEBtO6GTSh,2026-02-19 18:44:07,851,True,2,2,6,angrycalm.mp3,angrycalm,angry,calm,,tone_emotional_word_emotional,happy,5,5,2,2,angrycalm.mp3,1.8024489795918368,0.0808451697230339,0.06024545431137085,0.21290332078933716,1793.1102294921875,924.6302490234375,149.169189453125,3974.218017578125,161.4990234375,0.18457657251602563,0.12619444328502627,2850.392887981125,1368.0286524890653,4639.715106670673,2261.3539531926594,2177.4955586053106,571.0051241704504,-279.09326171875,123.56233978271484,43.99955368041992,48.436180114746094,-49.58716583251953,46.553958892822266,-5.607906341552734,24.6658878326416,12.27677059173584,26.855854034423828,-30.405643463134766,24.421464920043945,-33.35727310180664,13.380244255065918,-1.1300098896026611,13.762858390808105,-27.93122100830078,15.710630416870117,-14.305124282836914,15.05109691619873,-4.620136737823486,13.154085159301758,-14.96127986907959,11.999024391174316,-13.74111557006836,9.190899848937988
R_5VXcoPEBtO6GTSh,2026-02-19 18:44:07,851,True,2,3,7,disgustdisgust.mp3,disgustdisgust,disgust,disgust,,tone_emotional_word_emotional,disgusted,5,3,3,3,disgustdisgust.mp3,3.239183673469388,0.036494139581918716,0.03663446009159088,0.15510646998882294,2099.18212890625,1124.52685546875,145.55384826660156,3998.115234375,103.359375,0.24150390625,0.1347497625078403,3144.5639405599954,1077.7276306149238,5342.003173828125,1439.6345745299523,2044.0509518102942,397.6724786833243,-288.3670349121094,103.27191925048828,57.47306823730469,40.50466537475586,-55.61411666870117,37.25333023071289,32.407020568847656,22.97756576538086,-35.33653259277344,22.3990478515625,4.149334907531738,23.014381408691406,-19.923067092895508,16.648344039916992,3.6806235313415527,20.2647647857666,-11.273512840270996,16.549652099609375,2.590409517288208,18.49239158630371,-27.512292861938477,14.884492874145508,4.095666408538818,10.24705982208252,-14.213488578796387,12.984000205993652
R_5VXcoPEBtO6GTSh,2026-02-19 18:44:07,851,True,2,4,8,fearfulneutral.mp3,fearfulneutral,fearful,neutral,,tone_emotional_word_neutral,neutral,4,2,1,1,fearfulneutral.mp3,4.54530612244898,0.13892331719398499,0.07244959473609924,0.2984026074409485,1579.9794921875,1180.0096435546875,145.57489013671875,3992.799560546875,135.99917763157896,0.10685636559311225,0.09200114132642369,2041.4822170800876,1119.002831642503,3827.252197265625,2096.0574549935377,2016.3493714421365,551.7798029523198,-158.62840270996094,56.05545425415039,104.26032257080078,53.47372817993164,-7.976495742797852,26.795429229736328,30.005348205566406,29.998258590698242,-5.112672805786133,20.779584884643555,-5.980384826660156,18.510807037353516,-11.419441223144531,12.932304382324219,-2.362440824508667,13.519474029541016,-9.796951293945312,15.585305213928223,-0.22463132441043854,16.18366050720215,-13.371721267700195,11.509297370910645,-9.680706024169922,9.192791938781738,-13.99718952178955,10.087374687194824
R_5VXcoPEBtO6GTSh,2026-02-19 18:44:07,851,True,2,5,9,happysad.mp3,happysad,happy,sad,,tone_emotional_word_emotional,fearful,3,2,3,3,happysad.mp3,2.27265306122449,0.03082527592778206,0.02063409984111786,0.08885148912668228,1147.7802734375,858.8372802734375,147.8778839111328,3975.154541015625,184.5703125,0.14141222895408162,0.15777120849958393,2339.871059882744,1754.2947707237774,3917.61474609375,2614.286725636402,2017.2883946873021,612.433298171036,-377.40386962890625,110.0785140991211,80.61174011230469,66.08213806152344,-6.0552191734313965,37.25689697265625,-6.4439826011657715,29.33868408203125,-9.078980445861816,23.858909606933594,-13.081010818481445,24.320589065551758,-12.604337692260742,18.969362258911133,-6.282680511474609,12.287485122680664,-8.01103687286377,15.885554313659668,-6.580015182495117,12.18206787109375,-18.242616653442383,8.585704803466797,-6.138076305389404,8.729063987731934,-18.43779945373535,14.462309837341309
